meta_prompt,obj1,obj2,obj3,obj4,color1,color2,color3,color4,synthetic_prompt
a yellow cat and a orange car.,cat,car,,,yellow,orange,,,
a orange car and a red cat.,car,cat,,,orange,red,,,
a orange person and a green banana.,person,banana,,,orange,green,,,
a yellow chair and a orange person.,chair,person,,,yellow,orange,,,
a green banana and a blue chair.,banana,chair,,,green,blue,,,
a blue person and a green car.,person,car,,,blue,green,,,
a red airplane and a green chair.,airplane,chair,,,red,green,,,
a orange cat and a red person.,cat,person,,,orange,red,,,
a yellow car and a green chair.,car,chair,,,yellow,green,,,
a yellow car and a red horse.,car,horse,,,yellow,red,,,
a yellow banana and a red car.,banana,car,,,yellow,red,,,
a red airplane and a green person.,airplane,person,,,red,green,,,
a orange chair and a blue airplane.,chair,airplane,,,orange,blue,,,
a green chair and a blue car.,chair,car,,,green,blue,,,
a green airplane and a blue person.,airplane,person,,,green,blue,,,
a blue dog and a green airplane.,dog,airplane,,,blue,green,,,
a green car and a yellow chair.,car,chair,,,green,yellow,,,
a blue airplane and a yellow person.,airplane,person,,,blue,yellow,,,
a green dog and a red chair.,dog,chair,,,green,red,,,
a blue dog and a red person.,dog,person,,,blue,red,,,
a green chair and a orange banana.,chair,banana,,,green,orange,,,
a blue airplane and a orange chair.,airplane,chair,,,blue,orange,,,
a red cat and a orange banana.,cat,banana,,,red,orange,,,
a red banana and a orange person.,banana,person,,,red,orange,,,
a yellow cat and a orange airplane.,cat,airplane,,,yellow,orange,,,
a orange horse and a green car.,horse,car,,,orange,green,,,
a red airplane and a green horse.,airplane,horse,,,red,green,,,
a green dog and a red banana.,dog,banana,,,green,red,,,
a red horse and a green person.,horse,person,,,red,green,,,
a yellow person and a orange cat.,person,cat,,,yellow,orange,,,
a yellow car and a red banana.,car,banana,,,yellow,red,,,
a green chair and a red horse.,chair,horse,,,green,red,,,
a orange horse and a green chair.,horse,chair,,,orange,green,,,
a green person and a yellow dog.,person,dog,,,green,yellow,,,
a red banana and a blue airplane.,banana,airplane,,,red,blue,,,
a green dog and a blue chair.,dog,chair,,,green,blue,,,
a blue car and a yellow airplane.,car,airplane,,,blue,yellow,,,
a blue banana and a orange car.,banana,car,,,blue,orange,,,
a red dog and a green banana.,dog,banana,,,red,green,,,
a green dog and a yellow chair.,dog,chair,,,green,yellow,,,
a orange car and a yellow airplane.,car,airplane,,,orange,yellow,,,
a blue dog and a yellow person.,dog,person,,,blue,yellow,,,
a red airplane and a yellow cat.,airplane,cat,,,red,yellow,,,
a yellow banana and a green chair.,banana,chair,,,yellow,green,,,
a red cat and a orange airplane.,cat,airplane,,,red,orange,,,
a red banana and a green dog.,banana,dog,,,red,green,,,
a orange horse and a yellow chair.,horse,chair,,,orange,yellow,,,
a yellow airplane and a blue person.,airplane,person,,,yellow,blue,,,
a red person and a blue cat.,person,cat,,,red,blue,,,
a orange chair and a yellow person.,chair,person,,,orange,yellow,,,
a yellow dog and a blue chair.,dog,chair,,,yellow,blue,,,
a green banana and a red airplane.,banana,airplane,,,green,red,,,
a blue car and a yellow cat.,car,cat,,,blue,yellow,,,
a red airplane and a green cat.,airplane,cat,,,red,green,,,
a orange car and a yellow horse.,car,horse,,,orange,yellow,,,
a green chair and a yellow banana.,chair,banana,,,green,yellow,,,
a green dog and a yellow chair.,dog,chair,,,green,yellow,,,
a orange banana and a blue chair.,banana,chair,,,orange,blue,,,
a orange banana and a red person.,banana,person,,,orange,red,,,
a blue cat and a orange dog.,cat,dog,,,blue,orange,,,
a red chair and a yellow airplane.,chair,airplane,,,red,yellow,,,
a yellow chair and a blue airplane.,chair,airplane,,,yellow,blue,,,
a red banana and a yellow airplane.,banana,airplane,,,red,yellow,,,
a red horse and a orange airplane.,horse,airplane,,,red,orange,,,
a yellow horse and a orange car.,horse,car,,,yellow,orange,,,
a yellow banana and a blue person.,banana,person,,,yellow,blue,,,
a red person and a orange dog.,person,dog,,,red,orange,,,
a red banana and a blue airplane.,banana,airplane,,,red,blue,,,
a yellow chair and a orange horse.,chair,horse,,,yellow,orange,,,
a green banana and a red car.,banana,car,,,green,red,,,
a yellow chair and a blue dog.,chair,dog,,,yellow,blue,,,
a red cat and a yellow horse.,cat,horse,,,red,yellow,,,
a orange cat and a red car.,cat,car,,,orange,red,,,
a yellow banana and a red car.,banana,car,,,yellow,red,,,
a blue chair and a yellow airplane.,chair,airplane,,,blue,yellow,,,
a red horse and a orange person.,horse,person,,,red,orange,,,
a red dog and a blue person.,dog,person,,,red,blue,,,
a yellow horse and a red chair.,horse,chair,,,yellow,red,,,
a yellow cat and a blue horse.,cat,horse,,,yellow,blue,,,
a yellow car and a orange chair.,car,chair,,,yellow,orange,,,
a yellow dog and a blue chair.,dog,chair,,,yellow,blue,,,
a green banana and a orange dog.,banana,dog,,,green,orange,,,
a red dog and a yellow chair.,dog,chair,,,red,yellow,,,
a green airplane and a yellow cat.,airplane,cat,,,green,yellow,,,
a red chair and a green horse.,chair,horse,,,red,green,,,
a blue airplane and a green car.,airplane,car,,,blue,green,,,
a yellow airplane and a blue chair.,airplane,chair,,,yellow,blue,,,
a yellow dog and a blue chair.,dog,chair,,,yellow,blue,,,
a orange dog and a red airplane.,dog,airplane,,,orange,red,,,
a green chair and a blue airplane.,chair,airplane,,,green,blue,,,
a red horse and a orange chair.,horse,chair,,,red,orange,,,
a yellow airplane and a orange chair.,airplane,chair,,,yellow,orange,,,
a yellow person and a green horse.,person,horse,,,yellow,green,,,
a green chair and a blue cat.,chair,cat,,,green,blue,,,
a orange cat and a yellow person.,cat,person,,,orange,yellow,,,
a green car and a blue horse.,car,horse,,,green,blue,,,
a red dog and a blue horse.,dog,horse,,,red,blue,,,
a red banana and a blue car.,banana,car,,,red,blue,,,
a red horse and a orange banana.,horse,banana,,,red,orange,,,
a green horse and a blue car.,horse,car,,,green,blue,,,
a red horse and a orange chair.,horse,chair,,,red,orange,,,
a yellow banana and a orange person.,banana,person,,,yellow,orange,,,
a red banana and a blue person.,banana,person,,,red,blue,,,
a orange chair and a blue car.,chair,car,,,orange,blue,,,
a green banana and a red car.,banana,car,,,green,red,,,
a green chair and a yellow car.,chair,car,,,green,yellow,,,
a red cat and a green dog.,cat,dog,,,red,green,,,
a red car and a green cat.,car,cat,,,red,green,,,
a blue chair and a orange car.,chair,car,,,blue,orange,,,
a green dog and a yellow person.,dog,person,,,green,yellow,,,
a green horse and a blue dog.,horse,dog,,,green,blue,,,
a green banana and a red airplane.,banana,airplane,,,green,red,,,
a red dog and a orange chair.,dog,chair,,,red,orange,,,
a red dog and a orange airplane.,dog,airplane,,,red,orange,,,
a green cat and a red dog.,cat,dog,,,green,red,,,
a red banana and a orange dog.,banana,dog,,,red,orange,,,
a yellow car and a orange banana.,car,banana,,,yellow,orange,,,
a orange dog and a blue cat.,dog,cat,,,orange,blue,,,
a orange airplane and a yellow banana.,airplane,banana,,,orange,yellow,,,
a blue dog and a yellow horse.,dog,horse,,,blue,yellow,,,
a yellow cat and a green chair.,cat,chair,,,yellow,green,,,
a yellow airplane and a blue banana.,airplane,banana,,,yellow,blue,,,
a red horse and a orange dog.,horse,dog,,,red,orange,,,
a blue horse and a red cat.,horse,cat,,,blue,red,,,
a yellow airplane and a red banana.,airplane,banana,,,yellow,red,,,
a blue dog and a red banana.,dog,banana,,,blue,red,,,
a orange person and a red horse.,person,horse,,,orange,red,,,
a orange car and a yellow airplane.,car,airplane,,,orange,yellow,,,
a orange person and a red horse.,person,horse,,,orange,red,,,
a yellow dog and a green person.,dog,person,,,yellow,green,,,
a blue dog and a green person.,dog,person,,,blue,green,,,
a blue banana and a orange dog.,banana,dog,,,blue,orange,,,
a red banana and a green dog.,banana,dog,,,red,green,,,
a blue person and a red chair.,person,chair,,,blue,red,,,
"a green cat, a red horse and a blue airplane.",cat,horse,airplane,,green,red,blue,,
"a blue chair, a green cat and a yellow banana.",chair,cat,banana,,blue,green,yellow,,
"a yellow person, a green cat and a orange airplane.",person,cat,airplane,,yellow,green,orange,,
"a yellow chair, a red dog and a blue cat.",chair,dog,cat,,yellow,red,blue,,
"a blue horse, a red chair and a orange person.",horse,chair,person,,blue,red,orange,,
"a blue car, a red airplane and a yellow dog.",car,airplane,dog,,blue,red,yellow,,
"a red banana, a blue dog and a yellow car.",banana,dog,car,,red,blue,yellow,,
"a blue airplane, a red horse and a orange dog.",airplane,horse,dog,,blue,red,orange,,
"a blue chair, a orange cat and a green banana.",chair,cat,banana,,blue,orange,green,,
"a blue person, a red car and a green chair.",person,car,chair,,blue,red,green,,
"a blue banana, a red person and a orange chair.",banana,person,chair,,blue,red,orange,,
"a green banana, a orange person and a red airplane.",banana,person,airplane,,green,orange,red,,
"a yellow person, a green cat and a blue banana.",person,cat,banana,,yellow,green,blue,,
"a red cat, a orange horse and a blue dog.",cat,horse,dog,,red,orange,blue,,
"a red horse, a yellow person and a green chair.",horse,person,chair,,red,yellow,green,,
"a blue banana, a green cat and a orange horse.",banana,cat,horse,,blue,green,orange,,
"a green car, a red dog and a orange banana.",car,dog,banana,,green,red,orange,,
"a blue person, a orange horse and a red cat.",person,horse,cat,,blue,orange,red,,
"a red horse, a orange banana and a blue car.",horse,banana,car,,red,orange,blue,,
"a orange airplane, a red horse and a green dog.",airplane,horse,dog,,orange,red,green,,
"a blue horse, a green person and a yellow dog.",horse,person,dog,,blue,green,yellow,,
"a yellow chair, a blue cat and a green person.",chair,cat,person,,yellow,blue,green,,
"a red chair, a orange cat and a blue person.",chair,cat,person,,red,orange,blue,,
"a yellow airplane, a orange cat and a green chair.",airplane,cat,chair,,yellow,orange,green,,
"a red car, a green horse and a orange dog.",car,horse,dog,,red,green,orange,,
"a blue banana, a red car and a orange cat.",banana,car,cat,,blue,red,orange,,
"a green chair, a blue airplane and a orange dog.",chair,airplane,dog,,green,blue,orange,,
"a yellow person, a red horse and a orange dog.",person,horse,dog,,yellow,red,orange,,
"a orange chair, a yellow car and a red person.",chair,car,person,,orange,yellow,red,,
"a red person, a green dog and a blue banana.",person,dog,banana,,red,green,blue,,
"a green person, a blue banana and a red car.",person,banana,car,,green,blue,red,,
"a orange person, a red banana and a blue chair.",person,banana,chair,,orange,red,blue,,
"a blue banana, a orange cat and a red person.",banana,cat,person,,blue,orange,red,,
"a yellow car, a green cat and a orange chair.",car,cat,chair,,yellow,green,orange,,
"a yellow chair, a red person and a blue dog.",chair,person,dog,,yellow,red,blue,,
"a red person, a yellow car and a green horse.",person,car,horse,,red,yellow,green,,
"a blue car, a yellow cat and a green banana.",car,cat,banana,,blue,yellow,green,,
"a red dog, a blue cat and a orange person.",dog,cat,person,,red,blue,orange,,
"a blue car, a yellow banana and a orange airplane.",car,banana,airplane,,blue,yellow,orange,,
"a orange dog, a blue chair and a red person.",dog,chair,person,,orange,blue,red,,
"a green horse, a blue airplane and a red car.",horse,airplane,car,,green,blue,red,,
"a yellow person, a blue car and a orange banana.",person,car,banana,,yellow,blue,orange,,
"a orange airplane, a red car and a blue cat.",airplane,car,cat,,orange,red,blue,,
"a green cat, a yellow car and a red dog.",cat,car,dog,,green,yellow,red,,
"a red person, a green car and a yellow banana.",person,car,banana,,red,green,yellow,,
"a red airplane, a orange chair and a blue cat.",airplane,chair,cat,,red,orange,blue,,
"a yellow car, a blue dog and a red person.",car,dog,person,,yellow,blue,red,,
"a blue horse, a green dog and a red banana.",horse,dog,banana,,blue,green,red,,
"a blue chair, a orange dog and a yellow car.",chair,dog,car,,blue,orange,yellow,,
"a blue cat, a red airplane and a green chair.",cat,airplane,chair,,blue,red,green,,
"a blue cat, a orange chair and a red airplane.",cat,chair,airplane,,blue,orange,red,,
"a blue airplane, a red chair and a yellow person.",airplane,chair,person,,blue,red,yellow,,
"a red cat, a blue airplane and a yellow banana.",cat,airplane,banana,,red,blue,yellow,,
"a blue person, a green car and a orange airplane.",person,car,airplane,,blue,green,orange,,
"a yellow cat, a green airplane and a blue person.",cat,airplane,person,,yellow,green,blue,,
"a red person, a blue cat and a green chair.",person,cat,chair,,red,blue,green,,
"a green cat, a blue banana and a red person.",cat,banana,person,,green,blue,red,,
"a blue person, a orange banana and a red airplane.",person,banana,airplane,,blue,orange,red,,
"a red cat, a green dog and a yellow chair.",cat,dog,chair,,red,green,yellow,,
"a red car, a blue horse and a green airplane.",car,horse,airplane,,red,blue,green,,
"a blue dog, a red car and a orange person.",dog,car,person,,blue,red,orange,,
"a orange airplane, a red dog and a green car.",airplane,dog,car,,orange,red,green,,
"a green dog, a orange airplane and a yellow banana.",dog,airplane,banana,,green,orange,yellow,,
"a green banana, a blue chair and a red dog.",banana,chair,dog,,green,blue,red,,
"a red chair, a yellow dog and a orange car.",chair,dog,car,,red,yellow,orange,,
"a green chair, a blue car and a red person.",chair,car,person,,green,blue,red,,
"a orange banana, a blue horse and a red chair.",banana,horse,chair,,orange,blue,red,,
"a yellow horse, a blue airplane and a red cat.",horse,airplane,cat,,yellow,blue,red,,
"a blue banana, a orange person and a red chair.",banana,person,chair,,blue,orange,red,,
"a yellow chair, a blue banana and a green cat.",chair,banana,cat,,yellow,blue,green,,
"a red dog, a orange banana and a blue airplane.",dog,banana,airplane,,red,orange,blue,,
"a orange dog, a green horse and a red car.",dog,horse,car,,orange,green,red,,
"a orange airplane, a red chair and a blue dog.",airplane,chair,dog,,orange,red,blue,,
"a orange chair, a blue person and a yellow banana.",chair,person,banana,,orange,blue,yellow,,
"a blue chair, a orange car and a yellow horse.",chair,car,horse,,blue,orange,yellow,,
"a orange banana, a red horse and a blue person.",banana,horse,person,,orange,red,blue,,
"a blue cat, a yellow airplane and a red banana.",cat,airplane,banana,,blue,yellow,red,,
"a yellow airplane, a red banana and a green chair.",airplane,banana,chair,,yellow,red,green,,
"a orange cat, a green chair and a red person.",cat,chair,person,,orange,green,red,,
"a red chair, a green airplane and a blue cat.",chair,airplane,cat,,red,green,blue,,
"a yellow airplane, a red person and a green horse.",airplane,person,horse,,yellow,red,green,,
"a orange person, a blue banana and a yellow chair.",person,banana,chair,,orange,blue,yellow,,
"a orange dog, a yellow car and a green chair.",dog,car,chair,,orange,yellow,green,,
"a green horse, a yellow dog and a blue banana.",horse,dog,banana,,green,yellow,blue,,
"a yellow car, a green dog and a red horse.",car,dog,horse,,yellow,green,red,,
"a orange cat, a red horse and a yellow dog.",cat,horse,dog,,orange,red,yellow,,
"a green car, a orange dog and a blue person.",car,dog,person,,green,orange,blue,,
"a yellow cat, a blue banana and a green person.",cat,banana,person,,yellow,blue,green,,
"a green car, a orange person and a blue horse.",car,person,horse,,green,orange,blue,,
"a green banana, a yellow dog and a orange cat.",banana,dog,cat,,green,yellow,orange,,
"a blue cat, a green car and a orange dog.",cat,car,dog,,blue,green,orange,,
"a yellow banana, a blue dog and a green person.",banana,dog,person,,yellow,blue,green,,
"a orange car, a green horse and a yellow cat.",car,horse,cat,,orange,green,yellow,,
"a yellow car, a red horse and a orange cat.",car,horse,cat,,yellow,red,orange,,
"a orange banana, a blue airplane and a yellow horse.",banana,airplane,horse,,orange,blue,yellow,,
"a blue cat, a orange chair and a yellow dog.",cat,chair,dog,,blue,orange,yellow,,
"a green cat, a red car and a blue chair.",cat,car,chair,,green,red,blue,,
"a red banana, a green cat and a orange dog.",banana,cat,dog,,red,green,orange,,
"a orange cat, a red dog and a blue chair.",cat,dog,chair,,orange,red,blue,,
"a green chair, a orange person and a blue dog.",chair,person,dog,,green,orange,blue,,
"a red horse, a blue chair and a yellow dog.",horse,chair,dog,,red,blue,yellow,,
"a yellow horse, a orange car and a green chair.",horse,car,chair,,yellow,orange,green,,
"a green horse, a red dog and a orange cat.",horse,dog,cat,,green,red,orange,,
"a red airplane, a green cat and a blue horse.",airplane,cat,horse,,red,green,blue,,
"a orange banana, a red airplane and a green person.",banana,airplane,person,,orange,red,green,,
"a green chair, a orange horse and a red banana.",chair,horse,banana,,green,orange,red,,
"a orange dog, a red horse and a blue car.",dog,horse,car,,orange,red,blue,,
"a red person, a blue cat and a yellow chair.",person,cat,chair,,red,blue,yellow,,
"a orange chair, a green cat and a blue person.",chair,cat,person,,orange,green,blue,,
"a blue chair, a orange banana and a yellow horse.",chair,banana,horse,,blue,orange,yellow,,
"a green car, a red cat and a yellow airplane.",car,cat,airplane,,green,red,yellow,,
"a orange chair, a yellow person and a red horse.",chair,person,horse,,orange,yellow,red,,
"a yellow chair, a green cat and a red banana.",chair,cat,banana,,yellow,green,red,,
"a green cat, a red chair and a yellow horse.",cat,chair,horse,,green,red,yellow,,
"a yellow horse, a blue dog and a orange car.",horse,dog,car,,yellow,blue,orange,,
"a red chair, a green person and a yellow cat.",chair,person,cat,,red,green,yellow,,
"a orange chair, a blue car and a yellow banana.",chair,car,banana,,orange,blue,yellow,,
"a orange person, a green horse and a blue car.",person,horse,car,,orange,green,blue,,
"a orange banana, a yellow cat and a green person.",banana,cat,person,,orange,yellow,green,,
"a red chair, a green banana and a blue dog.",chair,banana,dog,,red,green,blue,,
"a yellow chair, a blue dog and a green person.",chair,dog,person,,yellow,blue,green,,
"a green cat, a red chair and a yellow banana.",cat,chair,banana,,green,red,yellow,,
"a orange chair, a green person and a yellow banana.",chair,person,banana,,orange,green,yellow,,
"a red cat, a orange airplane and a blue chair.",cat,airplane,chair,,red,orange,blue,,
"a red chair, a orange airplane and a yellow dog.",chair,airplane,dog,,red,orange,yellow,,
"a green airplane, a blue dog and a red horse.",airplane,dog,horse,,green,blue,red,,
"a green car, a blue horse and a red airplane.",car,horse,airplane,,green,blue,red,,
"a blue banana, a orange car and a red person.",banana,car,person,,blue,orange,red,,
"a yellow chair, a orange banana and a blue cat.",chair,banana,cat,,yellow,orange,blue,,
"a yellow person, a red cat and a blue banana.",person,cat,banana,,yellow,red,blue,,
"a green dog, a blue banana and a yellow airplane.",dog,banana,airplane,,green,blue,yellow,,
"a green cat, a yellow horse and a orange banana.",cat,horse,banana,,green,yellow,orange,,
"a green car, a orange cat and a red banana.",car,cat,banana,,green,orange,red,,
"a yellow airplane, a orange cat and a green banana.",airplane,cat,banana,,yellow,orange,green,,
"a yellow airplane, a green dog and a orange person.",airplane,dog,person,,yellow,green,orange,,
"a blue banana, a green person and a red airplane.",banana,person,airplane,,blue,green,red,,
"a blue person, a green chair and a red car.",person,chair,car,,blue,green,red,,
"a blue person, a orange cat and a red airplane.",person,cat,airplane,,blue,orange,red,,
"a blue horse, a red cat and a orange car.",horse,cat,car,,blue,red,orange,,
"a blue horse, a green airplane and a red cat.",horse,airplane,cat,,blue,green,red,,
"a yellow chair, a red horse and a blue cat.",chair,horse,cat,,yellow,red,blue,,
"a red cat, a blue car and a yellow person.",cat,car,person,,red,blue,yellow,,
"a yellow airplane, a orange horse and a green person.",airplane,horse,person,,yellow,orange,green,,
"a orange horse, a green cat and a red person.",horse,cat,person,,orange,green,red,,
"a red horse, a orange airplane and a green person.",horse,airplane,person,,red,orange,green,,
"a orange car, a red horse and a yellow chair.",car,horse,chair,,orange,red,yellow,,
"a red banana, a blue dog and a green horse.",banana,dog,horse,,red,blue,green,,
"a yellow car, a red cat and a blue banana.",car,cat,banana,,yellow,red,blue,,
"a blue airplane, a green horse and a yellow person.",airplane,horse,person,,blue,green,yellow,,
"a green banana, a red person and a orange airplane.",banana,person,airplane,,green,red,orange,,
"a yellow airplane, a red chair and a orange dog.",airplane,chair,dog,,yellow,red,orange,,
"a red banana, a orange airplane and a green car.",banana,airplane,car,,red,orange,green,,
"a yellow chair, a blue horse and a red cat.",chair,horse,cat,,yellow,blue,red,,
"a yellow person, a orange chair and a red dog.",person,chair,dog,,yellow,orange,red,,
"a yellow car, a orange horse and a green chair.",car,horse,chair,,yellow,orange,green,,
"a yellow dog, a orange horse and a red car.",dog,horse,car,,yellow,orange,red,,
"a yellow car, a orange cat and a red horse.",car,cat,horse,,yellow,orange,red,,
"a red person, a blue banana and a green horse.",person,banana,horse,,red,blue,green,,
"a orange cat, a blue person and a green dog.",cat,person,dog,,orange,blue,green,,
"a blue banana, a green car and a yellow horse.",banana,car,horse,,blue,green,yellow,,
"a blue dog, a red cat and a orange horse.",dog,cat,horse,,blue,red,orange,,
"a red airplane, a yellow dog and a blue car.",airplane,dog,car,,red,yellow,blue,,
"a red person, a blue chair and a orange dog.",person,chair,dog,,red,blue,orange,,
"a red person, a green horse and a blue car.",person,horse,car,,red,green,blue,,
"a orange person, a red dog and a yellow banana.",person,dog,banana,,orange,red,yellow,,
"a yellow horse, a red banana and a blue person.",horse,banana,person,,yellow,red,blue,,
"a orange car, a red cat and a blue chair.",car,cat,chair,,orange,red,blue,,
"a red cat, a yellow banana, a blue dog and a orange horse.",cat,banana,dog,horse,red,yellow,blue,orange,
"a green person, a red cat, a orange chair and a blue airplane.",person,cat,chair,airplane,green,red,orange,blue,
"a blue car, a yellow banana, a green cat and a red airplane.",car,banana,cat,airplane,blue,yellow,green,red,
"a blue car, a green horse, a red cat and a yellow chair.",car,horse,cat,chair,blue,green,red,yellow,
"a green person, a yellow horse, a red cat and a blue dog.",person,horse,cat,dog,green,yellow,red,blue,
"a red person, a green car, a yellow cat and a blue horse.",person,car,cat,horse,red,green,yellow,blue,
"a red dog, a yellow horse, a orange chair and a green banana.",dog,horse,chair,banana,red,yellow,orange,green,
"a red person, a blue airplane, a yellow car and a orange banana.",person,airplane,car,banana,red,blue,yellow,orange,
"a blue person, a red airplane, a orange chair and a yellow dog.",person,airplane,chair,dog,blue,red,orange,yellow,
"a yellow car, a orange horse, a blue banana and a green airplane.",car,horse,banana,airplane,yellow,orange,blue,green,
"a red car, a yellow banana, a blue airplane and a orange chair.",car,banana,airplane,chair,red,yellow,blue,orange,
"a orange person, a red car, a green cat and a yellow chair.",person,car,cat,chair,orange,red,green,yellow,
"a yellow person, a green banana, a blue car and a red dog.",person,banana,car,dog,yellow,green,blue,red,
"a orange person, a blue horse, a red dog and a green airplane.",person,horse,dog,airplane,orange,blue,red,green,
"a green car, a blue dog, a yellow banana and a red airplane.",car,dog,banana,airplane,green,blue,yellow,red,
"a yellow airplane, a orange horse, a red chair and a blue banana.",airplane,horse,chair,banana,yellow,orange,red,blue,
"a green airplane, a yellow banana, a blue cat and a red dog.",airplane,banana,cat,dog,green,yellow,blue,red,
"a orange airplane, a yellow chair, a red banana and a green cat.",airplane,chair,banana,cat,orange,yellow,red,green,
"a blue cat, a red horse, a yellow dog and a orange banana.",cat,horse,dog,banana,blue,red,yellow,orange,
"a green car, a yellow dog, a blue banana and a red airplane.",car,dog,banana,airplane,green,yellow,blue,red,
"a blue person, a green car, a yellow cat and a orange dog.",person,car,cat,dog,blue,green,yellow,orange,
"a blue person, a red dog, a yellow horse and a green car.",person,dog,horse,car,blue,red,yellow,green,
"a blue car, a red chair, a yellow banana and a green cat.",car,chair,banana,cat,blue,red,yellow,green,
"a orange person, a blue horse, a yellow banana and a red chair.",person,horse,banana,chair,orange,blue,yellow,red,
"a blue person, a orange airplane, a red car and a green cat.",person,airplane,car,cat,blue,orange,red,green,
"a orange car, a red banana, a yellow chair and a green horse.",car,banana,chair,horse,orange,red,yellow,green,
"a red car, a orange airplane, a yellow banana and a green chair.",car,airplane,banana,chair,red,orange,yellow,green,
"a orange person, a yellow cat, a blue airplane and a green banana.",person,cat,airplane,banana,orange,yellow,blue,green,
"a green person, a orange airplane, a blue car and a red banana.",person,airplane,car,banana,green,orange,blue,red,
"a green person, a orange airplane, a red chair and a blue car.",person,airplane,chair,car,green,orange,red,blue,
"a orange car, a red cat, a green dog and a yellow horse.",car,cat,dog,horse,orange,red,green,yellow,
"a yellow car, a green horse, a blue airplane and a red banana.",car,horse,airplane,banana,yellow,green,blue,red,
"a orange person, a blue horse, a green airplane and a red car.",person,horse,airplane,car,orange,blue,green,red,
"a red car, a blue banana, a yellow airplane and a green horse.",car,banana,airplane,horse,red,blue,yellow,green,
"a red cat, a blue chair, a yellow banana and a orange dog.",cat,chair,banana,dog,red,blue,yellow,orange,
"a orange airplane, a green chair, a yellow horse and a blue dog.",airplane,chair,horse,dog,orange,green,yellow,blue,
"a orange person, a green cat, a red car and a blue dog.",person,cat,car,dog,orange,green,red,blue,
"a green car, a yellow dog, a orange banana and a red airplane.",car,dog,banana,airplane,green,yellow,orange,red,
"a yellow person, a red cat, a orange chair and a green airplane.",person,cat,chair,airplane,yellow,red,orange,green,
"a green car, a blue airplane, a orange horse and a red cat.",car,airplane,horse,cat,green,blue,orange,red,
"a blue person, a orange airplane, a red banana and a green dog.",person,airplane,banana,dog,blue,orange,red,green,
"a orange person, a yellow banana, a red horse and a green car.",person,banana,horse,car,orange,yellow,red,green,
"a blue airplane, a red horse, a orange dog and a green cat.",airplane,horse,dog,cat,blue,red,orange,green,
"a orange airplane, a blue horse, a green cat and a red dog.",airplane,horse,cat,dog,orange,blue,green,red,
"a green airplane, a yellow chair, a blue banana and a red horse.",airplane,chair,banana,horse,green,yellow,blue,red,
"a yellow person, a red car, a orange chair and a blue dog.",person,car,chair,dog,yellow,red,orange,blue,
"a blue car, a orange airplane, a green dog and a yellow banana.",car,airplane,dog,banana,blue,orange,green,yellow,
"a yellow car, a blue chair, a green cat and a orange horse.",car,chair,cat,horse,yellow,blue,green,orange,
"a yellow person, a green banana, a red dog and a orange airplane.",person,banana,dog,airplane,yellow,green,red,orange,
"a orange car, a green airplane, a yellow chair and a blue dog.",car,airplane,chair,dog,orange,green,yellow,blue,
"a blue airplane, a red dog, a green banana and a orange cat.",airplane,dog,banana,cat,blue,red,green,orange,
"a red airplane, a green dog, a yellow cat and a orange horse.",airplane,dog,cat,horse,red,green,yellow,orange,
"a orange cat, a blue chair, a green dog and a yellow horse.",cat,chair,dog,horse,orange,blue,green,yellow,
"a green person, a orange cat, a red airplane and a yellow dog.",person,cat,airplane,dog,green,orange,red,yellow,
